order,season,episode,character_killed,killer,method,method_cat,location,importance
742,6,4,Dothraki Khal,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,1.0
743,6,4,Dothraki Khal,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,1.0
744,6,4,Dothraki Khal,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,1.0
745,6,4,Dothraki Khal,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,1.0
746,6,4,Khal Moro,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,2.0
747,6,4,Moro’s bloodrider 1,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,2.0
748,6,4,Moro’s bloodrider 2,Daenerys Targaryen,Fire,Fire/Burning,Vaes Dothrak,2.0
749,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
750,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
751,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
752,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
753,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
754,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
755,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
756,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
757,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
758,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
759,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
760,6,5,Wight,Child of the Forest,Magic fireball,Magic,Beyond the Wall,1.0
761,6,5,Wight,Meera Reed,Sword,Blade,Beyond the Wall,1.0
762,6,5,Wight,Summer,Direwolf teeth,Animal,Beyond the Wall,1.0
763,6,5,Wight,Leaf,Knife,Blade,Beyond the Wall,1.0
764,6,5,Wight,Child of the Forest,Arrow,Arrow,Beyond the Wall,1.0
765,6,5,Child of the Forest,Wight,Axe,Axe,Beyond the Wall,1.0
766,6,5,Wight,Child of the Forest,Arrow,Arrow,Beyond the Wall,1.0
767,6,5,Wight,Child of the Forest,Arrow,Arrow,Beyond the Wall,1.0
768,6,5,Wight,Child of the Forest,Arrow,Arrow,Beyond the Wall,1.0
769,6,5,Child of the Forest,Wight,Hands,Hands,Beyond the Wall,1.0
770,6,5,Child of the Forest,Wight,Sword,Blade,Beyond the Wall,1.0
771,6,5,Wight,Meera Reed,Sword,Blade,Beyond the Wall,1.0
772,6,5,Wight,Child of the Forest,Spear,Polearm,Beyond the Wall,1.0
773,6,5,Wight,Child of the Forest,Arrow,Arrow,Beyond the Wall,1.0
774,6,5,Child of the Forest,White Walker,Ice sword,Blade,Beyond the Wall,1.0
775,6,5,White Walker,Meera Reed,Dragonglass spear,Polearm,Beyond the Wall,1.0
776,6,5,Summer,Wight,Sword,Blade,Beyond the Wall,3.0
777,6,5,Three-Eyed Raven,Night King,Ice scimitar,Blade,Beyond the Wall,3.0
778,6,5,Leaf,Wight,Knives,Blade,Beyond the Wall,3.0
779,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
780,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
781,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
782,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
783,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
784,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
785,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
786,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
787,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
788,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
789,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
790,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
791,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
792,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
793,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
794,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
795,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
796,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
797,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
798,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
799,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
800,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
801,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
802,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
803,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
804,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
805,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
806,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
807,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
808,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
809,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
810,6,5,Wight,Leaf,Magic fireball,Magic,Beyond the Wall,1.0
811,6,5,Hodor,Wight,Hands,Hands,Beyond the Wall,4.0
812,6,6,Aerys II Targaryen,Jaime Lannister,Sword,Blade,King’s Landing,2.0
813,6,6,Wight,Benjen Stark,Horse’s hooves,Crushing,Beyond the Wall,1.0
814,6,6,Wight,Benjen Stark,Horse’s hooves,Crushing,Beyond the Wall,1.0
815,6,6,Wight,Benjen Stark,Flame flail,Fire/Burning,Beyond the Wall,1.0
816,6,6,Wight,Benjen Stark,Flame flail,Fire/Burning,Beyond the Wall,1.0
817,6,6,Wight,Benjen Stark,Tree,Crushing,Beyond the Wall,1.0
818,6,6,Wight,Benjen Stark,Scythe,Blade,Beyond the Wall,1.0
819,6,6,Wight,Benjen Stark,Scythe,Blade,Beyond the Wall,1.0
820,6,6,Wight,Benjen Stark,Flame flail,Fire/Burning,Beyond the Wall,1.0
821,6,7,Ray,Brotherhood Without Banners rogue,Hanging,Other,Riverlands,2.0
822,6,8,Steve,Sandor “the Hound” Clegane,Axe,Axe,Riverlands,2.0
823,6,8,Riddell,Sandor “the Hound” Clegane,Axe,Axe,Riverlands,1.0
824,6,8,Morgan,Sandor “the Hound” Clegane,Axe,Axe,Riverlands,1.0
825,6,8,Gatins,Sandor “the Hound” Clegane,Axe,Axe,Riverlands,2.0
826,6,8,Faith Militant brother,Gregor “the Mountain” Clegane,Hands,Hands,King’s Landing,1.0
827,6,8,Brynden “the Blackfish” Tully,Lannister soldier,Unknown,Unknown,Riverrun,3.0
828,6,8,Brotherhood Without Banners rogue,Sandor “the Hound” Clegane,Hanging,Other,Riverlands,1.0
829,6,8,Lem Lemoncloak,Sandor “the Hound” Clegane,Hanging,Other,Riverlands,2.0
830,6,8,Brotherhood Without Banners rogue,Beric Dondarrion,Hanging,Other,Riverlands,1.0
831,6,8,Lady Crane,The Waif,Knife,Blade,Braavos,3.0
832,6,8,The Waif,Arya Stark,Sword (Needle),Blade,Braavos,3.0
833,6,9,Meereen citizen,Yunkai soldier,Flaming trebuchet projectile,Other,Meereen,1.0
834,6,9,Meereen citizen,Yunkai soldier,Flaming trebuchet projectile,Other,Meereen,1.0
835,6,9,Meereen citizen,Yunkai soldier,Flaming trebuchet projectile,Other,Meereen,1.0
836,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
837,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
838,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
839,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
840,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
841,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
842,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
843,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
844,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
845,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
846,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
847,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
848,6,9,Meereen citizen,Son of the Harpy,Sword,Blade,Meereen,1.0
849,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
850,6,9,Meereen citizen,Son of the Harpy,Knife,Blade,Meereen,1.0
851,6,9,Son of the Harpy,Daario Naharis,Arakh,Blade,Meereen,1.0
852,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
853,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
854,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
855,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
856,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
857,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
858,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
859,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
860,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
861,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
862,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
863,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
864,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
865,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
866,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
867,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
868,6,9,Yunkai soldier,Drogon,Dragonfire,Animal,Meereen,1.0
869,6,9,Razdal mo Eraz,Grey Worm,Knife,Blade,Meereen,2.0
870,6,9,Belicho Paenymion,Grey Worm,Knife,Blade,Meereen,2.0
871,6,9,Rickon Stark,Ramsay Bolton,Arrow,Arrow,Winterfell,4.0
872,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
873,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
874,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
875,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
876,6,9,Bolton soldier,Stark soldier,Spear,Polearm,Winterfell,1.0
877,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
878,6,9,Bolton soldier,Stark soldier,Horse’s hooves,Crushing,Winterfell,1.0
879,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
880,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
881,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
882,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
883,6,9,Bolton soldier,Stark soldier,Spear,Polearm,Winterfell,1.0
884,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
885,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
886,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
887,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
888,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
889,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
890,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
891,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
892,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
893,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
894,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
895,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
896,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
897,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
898,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
899,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
900,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
901,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
902,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
903,6,9,Bolton soldier,Stark soldier,Horse’s hooves,Crushing,Winterfell,1.0
904,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
905,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
906,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
907,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
908,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
909,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
910,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
911,6,9,Bolton soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
912,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
913,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
914,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
915,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
916,6,9,Bolton soldier,Stark soldier,Sword,Blade,Winterfell,1.0
917,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
918,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
919,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
920,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
921,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
922,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
923,6,9,Bolton soldier,Stark soldier,Horse’s hooves,Crushing,Winterfell,1.0
924,6,9,Stark soldier,Bolton soldier,Horse’s hooves,Crushing,Winterfell,1.0
925,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
926,6,9,Bolton soldier,Stark soldier,Spear,Polearm,Winterfell,1.0
927,6,9,Horse,Horse,Horse’s hooves,Crushing,Winterfell,1.0
928,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
929,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
930,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
931,6,9,Horse,Unknown,Unknown,Unknown,Winterfell,1.0
932,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
933,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
934,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
935,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
936,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
937,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
938,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
939,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
940,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
941,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
942,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
943,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
944,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
945,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
946,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
947,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
948,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
949,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
950,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
951,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
952,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
953,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
954,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
955,6,9,Horse,Bolton soldier,Arrow,Arrow,Winterfell,1.0
956,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
957,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
958,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
959,6,9,Bolton soldier,Stark soldier,Sword,Blade,Winterfell,1.0
960,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
961,6,9,Bolton soldier,Stark soldier,Sword,Blade,Winterfell,1.0
962,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
963,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
964,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
965,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
966,6,9,Bolton soldier,Tormund,Sword,Blade,Winterfell,1.0
967,6,9,Bolton soldier,Wun Weg Wun Dar Wun,Hands,Hands,Winterfell,1.0
968,6,9,Horse,Wun Weg Wun Dar Wun,Hands,Hands,Winterfell,1.0
969,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
970,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
971,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
972,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
973,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
974,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
975,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
976,6,9,Stark soldier,Jon Umber,Sword,Blade,Winterfell,1.0
977,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
978,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
979,6,9,Bolton soldier,Wun Weg Wun Dar Wun,Hands,Hands,Winterfell,1.0
980,6,9,Bolton soldier,Tormund,Sword,Blade,Winterfell,1.0
981,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
982,6,9,Stark soldier,Jon Umber,Sword,Blade,Winterfell,1.0
983,6,9,Stark soldier,Jon Umber,Sword,Blade,Winterfell,1.0
984,6,9,Bolton soldier,Stark soldier,Sword,Blade,Winterfell,1.0
985,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
986,6,9,Bolton soldier,Stark soldier,Axe,Axe,Winterfell,1.0
987,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
988,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
989,6,9,Bolton soldier,Wun Weg Wun Dar Wun,Hands,Hands,Winterfell,1.0
990,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
991,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
992,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
993,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
994,6,9,Bolton soldier,Tormund,Sword,Blade,Winterfell,1.0
995,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
996,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
997,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
998,6,9,Stark soldier,Bolton soldier,Spear,Polearm,Winterfell,1.0
999,6,9,Stark soldier,Jon Umber,Sword,Blade,Winterfell,1.0
1000,6,9,Bolton soldier,Jon Snow,Sword (Longclaw),Blade,Winterfell,1.0
1001,6,9,Stark soldier,Bolton soldier,Sword,Blade,Winterfell,1.0
1002,6,9,Jon Umber,Tormund,Knife,Blade,Winterfell,2.0
1003,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1004,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1005,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1006,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1007,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1008,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1009,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1010,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1011,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1012,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1013,6,9,Bolton soldier,Arryn soldier,Horse’s hooves,Crushing,Winterfell,1.0
1014,6,9,Bolton soldier,Arryn soldier,Spear,Polearm,Winterfell,1.0
1015,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1016,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1017,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1018,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1019,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1020,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1021,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1022,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1023,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1024,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1025,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1026,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1027,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1028,6,9,Stark soldier,Bolton soldier,Arrow,Arrow,Winterfell,1.0
1029,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1030,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1031,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1032,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1033,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1034,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1035,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1036,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1037,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1038,6,9,Bolton soldier,Stark soldier,Arrow,Arrow,Winterfell,1.0
1039,6,9,Wun Weg Wun Dar Wun,Ramsay Bolton,Arrow,Arrow,Winterfell,3.0
1040,6,9,Ramsay Bolton,Sansa Stark,Dogs,Animal,Winterfell,4.0
1041,6,10,Grand Maester Pycelle,Qyburn’s “Little Birds”,Knife,Blade,King’s Landing,3.0
1042,6,10,Lancel Lannister,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,3.0
1043,6,10,High Sparrow,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,4.0
1044,6,10,Kevan Lannister,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,3.0
1045,6,10,Mace Tyrell,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,3.0
1046,6,10,Loras Tyrell,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,4.0
1047,6,10,Margaery Tyrell,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,4.0
1048,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1049,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1050,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1051,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1052,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1053,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1054,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1055,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1056,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1057,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1058,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1059,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1060,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1061,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1062,6,10,Faith Militant brother,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1063,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1064,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1065,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1066,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1067,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1068,6,10,Septon,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1069,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1070,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
1071,6,10,King’s Landing nobility,Cersei Lannister,Wildfire,Fire/Burning,King’s Landing,1.0
